input1,input2,output
0.11,0.55,1
0.15,0.56,1
0.19,0.62,1
0.22,0.64,1
0.23,0.67,1
0.26,0.71,1
0.3,0.73,1
0.32,0.77,1
0.38,0.82,1
0.44,0.82,1
0.46,0.87,0
0.49,0.93,0
0.52,0.95,0
0.55,0.98,0
0.56,1,0
0.62,0,1
0.64,0.01,1
0.67,0.04,1
0.71,0.07,1
0.73,0.11,1
0.77,0.15,1
0.8,0.19,1
0.82,0.22,1
0.87,0.23,1
0.93,0.26,1
0.95,0.3,1
0.98,0.32,1
1,0.38,1
0,0.46,1
0.01,0.49,1
0.04,0.52,1
0.07,0.55,1
0.11,0.56,1
0.15,0.62,1
0.19,0.64,1
0.22,0.67,1
0.23,0.71,1
0.26,0.73,1
0.3,0.8,1
0.32,0.8,1
0.38,0.82,1
0.44,0.87,1
0.46,0.93,0
0.49,0.95,0
0.52,0.98,0
0.55,1,0
0.56,0,1
0.62,0.01,1
0.64,0.04,1
0.67,0.07,1
0.71,0.11,1
0.73,0.15,1
0.77,0.19,1
0.8,0.22,1
0.82,0.23,1
0.87,0.26,1
0.93,0.3,1
0.95,0.32,1
0.98,0.38,1
1,0.44,1
0,0.49,1
0.01,0.52,1
0.04,0.55,1
0.07,0.56,1
0.11,0.62,1
0.15,0.64,1
0.19,0.67,1
0.22,0.71,1
0.23,0.73,1
0.26,0.77,1
0.3,0.8,1
0.32,0.82,1
0.38,0.87,1
0.44,0.93,1
0.46,0.95,0
0.49,0.98,0
0.52,1,0
0.55,0,1
0.56,0.01,1
0.62,0.04,1
0.64,0.07,1
0.67,0.11,1
0.71,0.15,1
0.73,0.19,1
0.77,0.22,1
0.8,0.23,1
0.82,0.26,1
0.87,0.3,1
0.93,0.32,1
0.95,0.38,1
0.98,0.44,1
1,0.46,0
0,0.52,1
0.01,0.55,1
0.04,0.56,1
0.07,0.62,1
0.11,0.64,1
0.15,0.67,1
0.19,0.71,1
0.22,0.73,1
0.23,0.77,1
0.26,0.8,1
0.3,0.82,1
0.32,0.87,1
0.38,0.93,1
0.44,0.95,1
0.46,0.98,0
0.49,1,0
0.52,0,1
0.55,0.01,1
0.56,0.04,1
0.62,0.07,1
0.64,0.11,1
0.67,0.15,1
0.71,0.19,1
0.73,0.22,1
0.77,0.23,1
0.8,0.26,1
0.82,0.3,1
0.87,0.32,1
0.93,0.38,1
0.95,0.44,1
0.98,0.46,0
1,0.49,0
0,0.55,1
0.01,0.56,1
0.04,0.62,1
0.07,0.64,1
0.11,0.67,1
0.15,0.71,1
0.19,0.73,1
0.22,0.77,1
0.23,0.8,1
0.26,0.82,1
0.3,0.87,1
0.32,0.93,1
0.38,0.95,1
0.44,0.98,1
0.46,1,0
0.49,0,1
0.52,0.01,1
0.55,0.04,1
0.56,0.07,1
0.62,0.11,1
0.64,0.15,1
0.67,0.19,1
0.71,0.22,1
0.73,0.23,1
0.77,0.26,1
0.8,0.3,1
0.82,0.32,1
0.87,0.38,1
0.93,0.44,1
0.95,0.46,0
0.98,0.49,0
1,0.52,0
0,0.56,1
0.01,0.62,1
0.04,0.64,1
0.07,0.67,1
0.11,0.71,1
0.15,0.73,1
0.19,0.77,1
0.22,0.8,1
0.23,0.82,1
0.26,0.87,1
0.3,0.93,1
0.32,0.95,1
0.38,0.98,1
0.44,1,1
0.46,0,1
0.49,0.01,1
0.52,0.04,1
0.55,0.07,1
0.56,0.11,1
0.62,0.15,1
0.64,0.19,1
0.67,0.22,1
0.71,0.23,1
0.73,0.26,1
0.77,0.3,1
0.8,0.32,1
0.82,0.38,1
0.87,0.44,1
0.93,0.46,0
0.95,0.49,0
0.98,0.52,0
1,0.55,0
0,0.62,1
0.01,0.64,1
0.04,0.67,1
0.07,0.71,1
0.11,0.73,1
0.15,0.77,1
0.19,0.8,1
0.22,0.82,1
0.23,0.87,1
0.26,0.93,1
0.3,0.95,1
0.32,0.98,1
0.38,1,1
0.44,0,0
0.46,0.01,1
0.49,0.04,1
0.52,0.07,1
0.55,0.11,1
0.56,0.15,1
0.62,0.19,1
0.64,0.22,1
0.67,0.23,1
0.71,0.26,1
0.73,0.3,1
0.77,0.32,1
0.8,0.38,1
0.82,0.44,1
0.87,0.46,0
0.93,0.49,0
0.95,0.52,0
0.98,0.55,0
1,0.56,0
0,0.64,1
0.01,0.67,1
0.04,0.71,1
0.07,0.73,1
0.11,0.77,1
0.15,0.8,1
0.19,0.82,1
0.22,0.87,1
0.23,0.93,1
0.26,0.95,1
0.3,0.98,1
0.32,1,1
0.38,0,0
0.44,0.01,0
0.46,0.04,1
0.49,0.07,1
0.52,0.11,1
0.55,0.15,1
0.56,0.19,1
0.62,0.22,1
0.64,0.23,1
0.67,0.26,1
0.71,0.3,1
0.73,0.32,1
0.77,0.38,1
0.8,0.44,1
0.82,0.46,0
0.87,0.49,0
0.93,0.52,0
0.95,0.55,0
0.98,0.56,0
1,0.62,0
0,0.67,1
0.01,0.71,1
0.04,0.73,1
0.07,0.77,1
0.11,0.8,1
0.15,0.82,1
0.19,0.87,1
0.22,0.93,1
0.23,0.95,1
0.26,0.98,1
0.3,1,1
0.32,0,0
0.38,0.01,0
0.44,0.04,0
0.46,0.07,1
0.49,0.11,1
0.52,0.15,1
0.55,0.19,1
0.56,0.22,1
0.62,0.23,1
0.64,0.26,1
0.67,0.3,1
0.71,0.32,1
0.73,0.38,1
0.77,0.44,1
0.8,0.46,0
0.82,0.49,0
0.87,0.52,0
0.93,0.55,0
0.95,0.56,0
0.98,0.62,0
1,0.64,0
0,0.71,1
0.01,0.73,1
0.04,0.77,1
0.07,0.8,1
0.11,0.82,1
0.15,0.87,1
0.19,0.93,1
0.22,0.95,1
0.23,0.98,1
0.26,1,1
0.3,0,0
0.32,0.01,0
0.38,0.04,0
0.44,0.07,0
0.46,0.11,1
0.49,0.15,1
0.52,0.19,1
0.55,0.22,1
0.56,0.23,1
0.62,0.26,1
0.64,0.3,1
0.67,0.32,1
0.71,0.38,1
0.73,0.44,1
0.77,0.46,0
0.8,0.49,0
0.82,0.52,0
0.87,0.55,0
0.93,0.56,0
0.95,0.62,0
0.98,0.64,0
1,0.67,0
0,0.73,1
0.01,0.77,1
0.04,0.8,1
0.07,0.82,1
0.11,0.87,1
0.15,0.93,1
0.19,0.95,1
0.22,0.98,1
0.23,1,1
0.26,0,0
0.3,0.01,0
0.32,0.04,0
0.38,0.07,0
0.44,0.11,0
0.46,0.15,1
0.49,0.19,1
0.52,0.22,1
0.55,0.23,1
0.56,0.26,1
0.62,0.3,1
0.64,0.32,1
0.67,0.38,1
0.71,0.44,1
0.73,0.46,0
0.77,0.49,0
0.8,0.52,0
0.82,0.55,0
0.87,0.56,0
0.93,0.62,0
0.95,0.64,0
0.98,0.67,0
1,0.71,0
0,0.77,1
0.01,0.8,1
0.04,0.82,1
0.07,0.87,1
0.11,0.93,1
0.15,0.95,1
0.19,0.98,1
0.22,1,1
0.23,0,0
0.26,0.01,0
0.3,0.04,0
0.32,0.07,0
0.38,0.11,0
0.44,0.15,0
0.46,0.19,1
0.49,0.22,1
0.52,0.23,1
0.55,0.26,1
0.56,0.3,1
0.62,0.32,1
0.64,0.38,1
0.67,0.44,1
0.71,0.46,0
0.73,0.49,0
0.77,0.52,0
0.8,0.55,0
0.82,0.56,0
0.87,0.62,0
0.93,0.64,0
0.95,0.67,0
0.98,0.71,0
1,0.73,0
0,0.8,1
0.01,0.82,1
0.04,0.87,1
0.07,0.93,1
0.11,0.95,1
0.15,0.98,1
0.19,1,1
0.22,0,0
0.23,0.01,0
0.26,0.04,0
0.3,0.07,0
0.32,0.11,0
0.38,0.15,0
0.44,0.19,0
0.46,0.22,1
0.49,0.23,1
0.52,0.26,1
0.55,0.3,1
0.56,0.32,1
0.62,0.38,1
0.64,0.44,1
0.67,0.46,0
0.71,0.49,0
0.73,0.52,0
0.77,0.55,0
0.8,0.56,0
0.82,0.62,0
0.87,0.64,0
0.93,0.67,0
0.95,0.71,0
0.98,0.73,0
1,0.77,0
0,0.82,1
0.01,0.87,1
0.04,0.93,1
0.07,0.95,1
0.11,0.98,1
0.15,1,1
0.19,0,0
0.22,0.01,0
0.23,0.04,0
0.26,0.07,0
0.3,0.11,0
0.32,0.15,0
0.38,0.19,0
0.44,0.22,0
0.46,0.23,1
0.49,0.26,1
0.52,0.3,1
0.55,0.32,1
0.56,0.38,1
0.62,0.44,1
0.64,0.46,0
0.67,0.49,0
0.71,0.52,0
0.73,0.55,0
0.77,0.56,0
0.8,0.62,0
0.82,0.64,0
0.87,0.67,0
0.93,0.71,0
0.95,0.73,0
0.98,0.77,0
1,0.8,0
0,0.87,1
0.01,0.93,1
0.04,0.95,1
0.07,0.98,1
0.11,1,1
0.15,0,0
0.19,0.01,0
0.22,0.04,0
0.23,0.07,0
0.26,0.11,0
0.3,0.15,0
0.32,0.19,0
0.38,0.22,0
0.44,0.23,0
0.46,0.26,1
0.49,0.3,1
0.52,0.32,1
0.55,0.38,1
0.56,0.44,1
0.62,0.46,0
0.64,0.49,0
0.67,0.52,0
0.71,0.55,0
0.73,0.56,0
0.77,0.62,0
0.8,0.64,0
0.82,0.67,0
0.87,0.71,0
0.93,0.73,0
0.95,0.77,0
0.98,0.8,0
1,0.82,0
0,0.93,1
0.01,0.95,1
0.04,0.98,1
0.07,1,1
0.11,0,0
0.15,0.01,0
0.19,0.04,0
0.22,0.07,0
0.23,0.11,0
0.26,0.15,0
0.3,0.19,0
0.32,0.22,0
0.38,0.23,0
0.44,0.26,0
0.46,0.3,1
0.49,0.32,1
0.52,0.38,1
0.55,0.44,1
0.56,0.46,0
0.62,0.49,0
0.64,0.52,0
0.67,0.55,0
0.71,0.56,0
0.73,0.62,0
0.77,0.64,0
0.8,0.67,0
0.82,0.71,0
0.87,0.73,0
0.93,0.77,0
0.95,0.8,0
0.98,0.82,0
1,0.87,0
0,0.95,1
0.01,0.98,1
0.04,1,1
0.07,0,0
0.11,0.01,0
0.15,0.04,0
0.19,0.07,0
0.22,0.11,0
0.23,0.15,0
0.26,0.19,0
0.3,0.22,0
0.32,0.23,0
0.38,0.26,0
0.44,0.3,0
0.46,0.32,1
0.49,0.38,1
0.52,0.44,1
0.55,0.46,0
0.56,0.49,0
0.62,0.52,0
0.64,0.55,0
0.67,0.56,0
0.71,0.62,0
0.73,0.64,0
0.77,0.67,0
0.8,0.71,0
0.82,0.73,0
0.87,0.77,0
0.93,0.8,0
0.95,0.82,0
0.98,0.87,0
1,0.93,0
0,0.98,1
0.01,1,1
0.04,0,0
0.07,0.01,0
0.11,0.04,0
0.15,0.07,0
0.19,0.11,0
0.22,0.15,0
0.23,0.19,0
0.26,0.22,0
0.3,0.23,0
0.32,0.26,0
0.38,0.3,0
0.44,0.32,0
0.46,0.38,1
0.49,0.44,1
0.52,0.46,0
0.55,0.49,0
0.56,0.52,0
0.62,0.55,0
0.64,0.56,0
0.67,0.62,0
0.71,0.64,0
0.73,0.67,0
0.77,0.71,0
0.8,0.73,0
0.82,0.77,0
0.87,0.8,0
0.93,0.82,0
0.95,0.87,0
0.98,0.93,0
1,0.95,0
0,1,1
0.01,0,0
0.04,0.01,0
0.07,0.04,0
0.11,0.07,0
0.15,0.11,0
0.19,0.15,0
0.22,0.19,0
0.23,0.22,0
0.26,0.23,0
0.3,0.26,0
0.32,0.3,0
0.38,0.32,0
0.44,0.38,0
0.46,0.44,1
0.49,0.46,0
0.52,0.49,0
0.55,0.52,0
0.56,0.55,0
0.62,0.56,0
0.64,0.62,0
0.67,0.64,0
0.71,0.67,0
0.73,0.71,0
0.77,0.73,0
0.8,0.77,0
0.82,0.8,0
0.87,0.82,0
0.93,0.87,0
0.95,0.93,0
0.98,0.95,0
1,0.98,0
